id mode, score, time
1 AI, 10/12, 1m 8.6s
1 Human, 11/12, 1m 14.1s
2 Human, 12/12, 1m 13.9s
2 AI, 12/12, 1m 15.5s
3 AI, 11/12, 2m 20.6s
3 Human, 11/12, 2m 10.9s
4 AI, 11/12, 1m 22.8s
4 Human, 11/12, 1m 37.3s
5 Human, 12/12, 1m 23.0s
5 AI, 12/12, 1m 8.4s
6 AI, 11/12, 1m 39.6s
6 Human, 12/12, 0m 48.3s
7 Human, 11/12, 2m 13.9s
7 AI, 11/12, 2m 34.2s
8 AI, 1/12, 1m 5.5s
8 Human, 12/12, 0m 40.1s
9 Human, 12/12, 1m 1.9s
9 AI, 12/12, 1m 8.9s
10 AI, 10/12, 1m 20.0s
10 Human, no results
11 Human, 12/12, 1m 44.6s
11 AI, 12/12, 1m 44.6s
12 AI, 11/12, 2m 24.3s
12 Human, 11/12, 1m 35.8s
13 Human, 11/12, 1m 12.1s
13 AI, 11/12, 0m 58.7s
14 AI, 11/12, 1m 50.5s
14 Human, 10/12, 1m 23.1s
15 Human, 11/12, 1m 33.0s
15 AI, 12/12, 1m 15.0s
16 AI, 11/12, 2m 13.4s
16 Human, 11/12, 2m 19.1s
17 Human, 11/12, 2m 29.6s
17 AI, 11/12, 2m 30.5s
18 Human, 10/12, 2m 26.5s
18 AI, 11/12, 2m 38.7s
19 Human, 4/12, 2m 53.4s
19 AI, 11/12, 1m 40.0s
20 AI, 11/12, 2m 50.3s
20 Human, 12/12, 1m 58.7s
21 Human, 9/12, 3m 43.6s
21 AI, 11/12, 4m 2.9s
